,instance,base,bfs-ret-loc,size,depth,num
0,exhsearch_s11_d1_num1,0.0003630000000214295,0.00036179999733576546,11,1,1
1,exhsearch_s11_d1_num10,0.00039250000000379265,0.0003808999972534366,11,1,10
2,exhsearch_s11_d1_num2,0.00036879999998973284,0.000363799998012837,11,1,2
3,exhsearch_s11_d1_num3,0.0003437999999960084,0.00033600000460864976,11,1,3
4,exhsearch_s11_d1_num4,0.0003018000000167831,0.00029940000240458176,11,1,4
5,exhsearch_s11_d1_num5,0.00026500000001306034,0.0002573000019765459,11,1,5
6,exhsearch_s11_d1_num6,0.00030330000001299595,0.00029580000409623613,11,1,6
7,exhsearch_s11_d1_num7,0.0003777000000013686,0.0003679000001284294,11,1,7
8,exhsearch_s11_d1_num8,0.00032430000001681947,0.0003189000053680502,11,1,8
9,exhsearch_s11_d1_num9,0.0003724000000033811,0.0003637000045273453,11,1,9
10,exhsearch_s11_d2_num1,0.0051378999999940325,0.0037752999996882868,11,2,1
11,exhsearch_s11_d2_num10,0.0005491999999946984,0.0005116000029374844,11,2,10
12,exhsearch_s11_d2_num2,0.00490469999999732,0.004096399999980349,11,2,2
13,exhsearch_s11_d2_num3,0.003647699999987708,0.0033994000041275285,11,2,3
14,exhsearch_s11_d2_num4,0.0013833000000147422,0.0012044999966747127,11,2,4
15,exhsearch_s11_d2_num5,0.0005065000000001874,0.0004819000023417175,11,2,5
16,exhsearch_s11_d2_num6,0.0006545000000244272,0.0005836999989696777,11,2,6
17,exhsearch_s11_d2_num7,0.0029514000000006035,0.002381899997999426,11,2,7
18,exhsearch_s11_d2_num8,0.0005479999999806751,0.0004994999981136061,11,2,8
19,exhsearch_s11_d2_num9,0.0015970999999979085,0.0014375000027939675,11,2,9
20,exhsearch_s11_d3_num1,0.003527899999994588,0.003084800002397969,11,3,1
21,exhsearch_s11_d3_num10,0.046286400000013835,0.039742800006933976,11,3,10
22,exhsearch_s11_d3_num2,0.27747360000000754,0.23970679999911226,11,3,2
23,exhsearch_s11_d3_num3,0.01046740000001023,0.007560899997770321,11,3,3
24,exhsearch_s11_d3_num4,0.008469600000012178,0.006731699999363627,11,3,4
25,exhsearch_s11_d3_num5,0.015380100000015771,0.012585000004037285,11,3,5
26,exhsearch_s11_d3_num6,0.006417999999996482,0.005510199996933807,11,3,6
27,exhsearch_s11_d3_num7,0.009616499999992813,0.008512300002621487,11,3,7
28,exhsearch_s11_d3_num8,0.04163859999999886,0.03529590000107419,11,3,8
29,exhsearch_s11_d3_num9,0.05411709999998493,0.03820560000167461,11,3,9
30,exhsearch_s11_d4_num1,1.2483297999999934,1.0186082000000172,11,4,1
31,exhsearch_s11_d4_num10,2.1235401999999794,1.6747233999994933,11,4,10
32,exhsearch_s11_d4_num2,2.851364899999965,2.54434780000156,11,4,2
33,exhsearch_s11_d4_num3,0.4578511999999933,0.4036970000015572,11,4,3
34,exhsearch_s11_d4_num4,1.644620400000008,1.4380101999995532,11,4,4
35,exhsearch_s11_d4_num5,3.7603987999999617,3.2609400000001187,11,4,5
36,exhsearch_s11_d4_num6,0.4020762999999761,0.3226028999997652,11,4,6
37,exhsearch_s11_d4_num7,6.074087500000019,4.834629899996799,11,4,7
38,exhsearch_s11_d4_num8,3.5318538000000217,2.8853193999966606,11,4,8
39,exhsearch_s11_d4_num9,0.2494137999999566,0.21003400000336114,11,4,9
40,exhsearch_s13_d1_num1,0.0005706000000031963,0.0005524000007426366,13,1,1
41,exhsearch_s13_d1_num10,0.0004641999999535073,0.00045549999776994815,13,1,10
42,exhsearch_s13_d1_num2,0.0004438999999933913,0.00043300000106682996,13,1,2
43,exhsearch_s13_d1_num3,0.00047900000004119647,0.0004644000000553206,13,1,3
44,exhsearch_s13_d1_num4,0.0005160000000046239,0.000501299997267779,13,1,4
45,exhsearch_s13_d1_num5,0.000491500000009637,0.0004776999994646758,13,1,5
46,exhsearch_s13_d1_num6,0.00039170000002286537,0.00038340000173775485,13,1,6
47,exhsearch_s13_d1_num7,0.0005714999999781867,0.0005392000020947306,13,1,7
48,exhsearch_s13_d1_num8,0.0005049000000099113,0.0005066999947302975,13,1,8
