instance,time0[s],time1[s],time2[s],time3[s],time4[s],time5[s],time6[s],time7[s],time8[s],time9[s]
exhsearch_s11_d1_num1,2.53e-05,1.76e-05,1.47e-05,1.41e-05,1.4e-05,1.4e-05,1.39e-05,1.36e-05,1.39e-05,1.38e-05
exhsearch_s11_d1_num10,6e-05,4.85e-05,4.55e-05,4.51e-05,4.45e-05,4.44e-05,4.34e-05,4.36e-05,4.38e-05,4.32e-05
exhsearch_s11_d1_num2,5.14e-05,4.48e-05,4.43e-05,4.41e-05,4.34e-05,4.34e-05,4.33e-05,4.33e-05,5.59e-05,4.48e-05
exhsearch_s11_d1_num3,2.51e-05,1.95e-05,1.87e-05,1.86e-05,1.82e-05,1.82e-05,1.79e-05,1.78e-05,1.8e-05,1.82e-05
exhsearch_s11_d1_num4,1.36e-05,9e-06,8.1e-06,7.8e-06,7.6e-06,7.7e-06,7.7e-06,7.6e-06,7.5e-06,7.5e-06
exhsearch_s11_d1_num5,6.5e-06,3.1e-06,2.9e-06,2.7e-06,2.7e-06,2.7e-06,2.6e-06,2.6e-06,2.6e-06,2.6e-06
exhsearch_s11_d1_num6,4.27e-05,3.38e-05,3.1e-05,3.03e-05,2.9e-05,2.97e-05,2.83e-05,2.79e-05,2.79e-05,2.8e-05
exhsearch_s11_d1_num7,2.69e-05,3.84e-05,2.15e-05,2.11e-05,2.11e-05,2.1e-05,2.08e-05,2.09e-05,2.1e-05,2.1e-05
exhsearch_s11_d1_num8,4.8e-06,2.1e-06,1.7e-06,1.6e-06,1.6e-06,1.6e-06,1.5e-06,1.6e-06,1.6e-06,1.6e-06
exhsearch_s11_d1_num9,5.61e-05,4.83e-05,4.62e-05,4.54e-05,4.42e-05,4.42e-05,4.34e-05,4.39e-05,4.36e-05,4.36e-05
exhsearch_s11_d2_num1,0.0042102,0.0040789,0.0039939,0.0040626,0.004013,0.0040022,0.0040452,0.0040434,0.0040786,0.0040307
exhsearch_s11_d2_num10,0.0001617,0.0001495,0.0001447,0.0001433,0.0001446,0.000144,0.0001432,0.0001426,0.0001417,0.0001428
exhsearch_s11_d2_num2,0.003877,0.0039802,0.0038596,0.0038361,0.0039904,0.0038807,0.0039149,0.0038863,0.0039866,0.0038996
exhsearch_s11_d2_num3,0.002715,0.0028049,0.0026852,0.0028512,0.0026957,0.0027306,0.0027007,0.0027065,0.0027326,0.0027832
exhsearch_s11_d2_num4,0.0009123,0.0008907,0.0008593,0.0008559,0.0008562,0.0008674,0.0008581,0.0008544,0.0008774,0.000856
exhsearch_s11_d2_num5,0.0001982,0.0001772,0.0001738,0.0001715,0.0001703,0.000171,0.0001694,0.0001701,0.0001697,0.0001695
exhsearch_s11_d2_num6,0.0003277,0.0002315,0.0002279,0.0002247,0.0002407,0.000224,0.0002235,0.0002343,0.000222,0.0002211
exhsearch_s11_d2_num7,0.0022257,0.0022218,0.0022327,0.0021857,0.0021977,0.0023034,0.002184,0.0021993,0.0021829,0.002186
exhsearch_s11_d2_num8,0.0002109,0.0001886,0.0001864,0.0001834,0.0001834,0.0001834,0.0001827,0.000183,0.0001821,0.0001815
exhsearch_s11_d2_num9,0.0011159,0.0010823,0.0010752,0.0010452,0.00104,0.0010445,0.0010411,0.0010422,0.001081,0.0010466
exhsearch_s11_d3_num1,0.0026584,0.0027791,0.0026571,0.0027156,0.0028029,0.0027086,0.0027088,0.0028149,0.0027196,0.0027083
exhsearch_s11_d3_num10,0.0422873,0.0415098,0.0414328,0.0412276,0.0412151,0.0424113,0.0391518,0.0412094,0.0413747,0.0414461
exhsearch_s11_d3_num2,0.240828,0.259111,0.237872,0.237321,0.238349,0.237329,0.237451,0.238483,0.237386,0.237756
exhsearch_s11_d3_num3,0.0089837,0.008643,0.0090144,0.0087889,0.0088503,0.008949,0.0088761,0.0090256,0.0087753,0.0087284
exhsearch_s11_d3_num4,0.0071413,0.0076265,0.0071874,0.0071719,0.007349,0.0073196,0.0073681,0.0073307,0.0074,0.0073897
exhsearch_s11_d3_num5,0.0128764,0.0126735,0.0131254,0.0130774,0.0129633,0.0129156,0.0131734,0.0125815,0.0132857,0.0125472
