mazesize,depth
5,1
5,2
5,2
5,1
5,1
5,1
5,2
5,1
5,2
5,1
5,2
5,2
5,2
5,2
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,2
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,1
5,2
5,1
5,2
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,2
5,1
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,2
5,1
5,2
5,2
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,2
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,2
5,2
5,1
5,2
5,2
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,2
5,2
5,2
5,1
5,1
5,2
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,1
5,2
5,1
5,1
5,1
5,2
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,2
5,2
5,1
5,2
5,1
5,1
5,2
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,1
5,1
5,1
5,2
5,1
5,2
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,2
5,1
5,2
5,2
5,1
5,1
5,1
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,2
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,2
5,2
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,2
5,2
5,1
5,1
5,1
5,2
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,2
5,2
5,1
5,1
5,1
5,2
5,2
5,1
5,1
5,2
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,1
5,1
5,2
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,2
5,2
5,1
5,2
5,2
5,1
5,2
5,1
5,2
5,1
5,2
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,2
5,2
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,2
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,1
5,1
5,1
5,2
5,2
5,2
5,2
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,2
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,2
5,1
5,1
5,1
5,2
5,1
5,1
5,2
5,2
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,2
5,2
5,2
5,2
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,2
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,2
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,2
5,1
5,2
5,2
5,2
5,1
5,1
5,1
5,2
5,2
5,1
5,1
5,2
5,1
5,1
5,2
5,1
5,2
5,2
5,2
5,2
5,1
5,1
5,2
5,1
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,2
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,2
5,1
5,2
5,1
5,2
5,1
5,1
5,1
5,2
5,2
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,2
5,2
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2
5,1
5,2
5,2
