,instance,mazesize,time_depth_1,time_depth_2,time_depth_3
0,minimax_s11_num0,11,,0.1,
1,minimax_s11_num1,11,,0.1,2.8
2,minimax_s11_num10,11,,0.1,2.9
3,minimax_s11_num11,11,,0.1,0.7
4,minimax_s11_num12,11,,0.1,
5,minimax_s11_num13,11,,0.1,
6,minimax_s11_num14,11,,0.1,2.6
7,minimax_s11_num15,11,,0.1,5.9
8,minimax_s11_num16,11,,0.1,
9,minimax_s11_num17,11,,0.1,
10,minimax_s11_num18,11,,0.1,
11,minimax_s11_num19,11,,0.1,
12,minimax_s11_num2,11,,0.1,
13,minimax_s11_num20,11,,0.1,1.2
14,minimax_s11_num21,11,,0.1,
15,minimax_s11_num22,11,,0.1,4.0
16,minimax_s11_num23,11,,0.1,
17,minimax_s11_num24,11,,0.1,4.2
18,minimax_s11_num25,11,,0.1,0.2
19,minimax_s11_num26,11,,0.1,1.0
20,minimax_s11_num27,11,,0.1,3.2
21,minimax_s11_num28,11,,0.1,
22,minimax_s11_num29,11,,0.1,5.6
23,minimax_s11_num3,11,,0.1,5.6
24,minimax_s11_num30,11,,0.1,5.2
25,minimax_s11_num31,11,,0.1,
26,minimax_s11_num32,11,,0.1,2.8
27,minimax_s11_num33,11,,0.1,
28,minimax_s11_num34,11,,0.1,
29,minimax_s11_num35,11,,0.1,9.4
30,minimax_s11_num36,11,,0.1,
31,minimax_s11_num37,11,,0.1,
32,minimax_s11_num38,11,,0.1,2.4
33,minimax_s11_num39,11,,0.1,
34,minimax_s11_num4,11,,0.1,1.8
35,minimax_s11_num40,11,,0.1,
36,minimax_s11_num41,11,,0.1,
37,minimax_s11_num42,11,,0.1,3.2
38,minimax_s11_num43,11,,0.1,
39,minimax_s11_num44,11,,0.1,0.7
40,minimax_s11_num45,11,,0.1,1.0
41,minimax_s11_num46,11,,0.1,2.2
42,minimax_s11_num47,11,,0.1,1.3
43,minimax_s11_num48,11,,0.1,4.7
44,minimax_s11_num49,11,,0.1,5.8
45,minimax_s11_num5,11,,0.1,1.5
46,minimax_s11_num50,11,,0.1,4.3
47,minimax_s11_num51,11,,0.1,1.3
48,minimax_s11_num52,11,,0.1,3.0
49,minimax_s11_num53,11,,0.1,8.8
50,minimax_s11_num54,11,,0.1,2.2
51,minimax_s11_num55,11,,0.1,3.9
52,minimax_s11_num56,11,,0.1,0.6
53,minimax_s11_num57,11,,0.1,
54,minimax_s11_num58,11,,0.1,2.5
55,minimax_s11_num59,11,,0.1,
56,minimax_s11_num6,11,,0.1,
57,minimax_s11_num60,11,,0.1,
58,minimax_s11_num61,11,,0.1,3.4
59,minimax_s11_num62,11,,0.1,
60,minimax_s11_num63,11,,0.1,6.3
61,minimax_s11_num64,11,,0.1,3.5
62,minimax_s11_num65,11,,0.1,5.4
63,minimax_s11_num66,11,,0.1,
64,minimax_s11_num67,11,,0.1,
