,instance,mazesize,time_depth_1,time_depth_2,time_depth_3
0,minimax_s13_num0,13,0.1,0.2,
1,minimax_s13_num1,13,0.1,0.5,
2,minimax_s13_num10,13,0.1,2.1,
3,minimax_s13_num11,13,0.1,0.2,
4,minimax_s13_num12,13,0.1,0.2,
5,minimax_s13_num13,13,0.1,0.3,
6,minimax_s13_num14,13,0.1,0.2,
7,minimax_s13_num15,13,0.1,0.4,
8,minimax_s13_num16,13,0.1,1.8,
9,minimax_s13_num17,13,0.1,2.1,
10,minimax_s13_num18,13,0.1,0.7,
11,minimax_s13_num19,13,0.1,0.5,
12,minimax_s13_num2,13,0.1,0.8,
13,minimax_s13_num20,13,0.1,1.1,
14,minimax_s13_num21,13,0.1,0.3,
15,minimax_s13_num22,13,0.1,1.1,
16,minimax_s13_num23,13,0.1,0.3,
17,minimax_s13_num24,13,,0.1,26.5
18,minimax_s13_num25,13,0.1,0.2,
19,minimax_s13_num26,13,0.1,0.4,
20,minimax_s13_num27,13,0.1,0.2,
21,minimax_s13_num28,13,0.1,0.3,
22,minimax_s13_num29,13,0.1,0.3,
23,minimax_s13_num3,13,0.1,0.2,
24,minimax_s13_num30,13,,0.1,
25,minimax_s13_num31,13,0.1,0.7,
26,minimax_s13_num32,13,,0.1,23.7
27,minimax_s13_num33,13,,0.1,24.3
28,minimax_s13_num34,13,0.1,0.3,
29,minimax_s13_num35,13,,0.1,17.8
30,minimax_s13_num36,13,0.1,0.2,
31,minimax_s13_num37,13,0.1,1.7,
32,minimax_s13_num38,13,0.1,0.5,
33,minimax_s13_num39,13,0.1,0.8,
34,minimax_s13_num4,13,,0.1,22.9
35,minimax_s13_num40,13,0.1,0.3,
36,minimax_s13_num41,13,0.1,0.4,
37,minimax_s13_num42,13,0.1,0.3,
38,minimax_s13_num43,13,0.1,0.5,
39,minimax_s13_num44,13,0.1,0.4,
40,minimax_s13_num45,13,0.1,0.2,
41,minimax_s13_num46,13,0.1,1.0,
42,minimax_s13_num47,13,0.1,1.5,
